"","year","age","sex","polviews","happy","conrinc","wtssall","natrace","life","trust","dwelown","marital"
"122",1972,53,1,NA,1,NA,1.3339,NA,NA,2,NA,1
"123",1972,47,1,NA,3,NA,2.6679,NA,NA,2,NA,1
"124",1972,70,1,NA,1,NA,1.3339,NA,NA,2,NA,2
"125",1972,69,2,NA,1,NA,1.7786,NA,NA,2,NA,1
"126",1972,49,2,NA,2,NA,0.8893,NA,NA,1,NA,1
"127",1972,29,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"128",1972,48,2,NA,3,NA,1.3339,NA,NA,2,NA,1
"129",1972,67,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"130",1972,22,1,NA,3,NA,1.3339,NA,NA,2,NA,3
"131",1972,75,1,NA,3,NA,0.8893,NA,NA,2,NA,1
"132",1972,38,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"133",1972,46,1,NA,2,NA,1.3339,NA,NA,1,NA,1
"134",1972,63,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"135",1972,34,2,NA,2,NA,0.8893,NA,NA,1,NA,1
"136",1972,57,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"137",1972,22,2,NA,2,NA,0.4446,NA,NA,2,NA,5
"138",1972,46,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"139",1972,73,2,NA,2,NA,0.8893,NA,NA,1,NA,1
"140",1972,73,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"141",1972,53,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"142",1972,84,2,NA,2,NA,0.4446,NA,NA,1,NA,2
"143",1972,27,1,NA,3,NA,0.8893,NA,NA,1,NA,1
"144",1972,69,2,NA,2,NA,0.4446,NA,NA,2,NA,3
"145",1972,82,2,NA,2,NA,0.4446,NA,NA,1,NA,2
"146",1972,67,2,NA,2,NA,0.4446,NA,NA,2,NA,5
"147",1972,41,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"148",1972,72,1,NA,2,NA,0.4446,NA,NA,1,NA,3
"149",1972,38,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"150",1972,59,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"151",1972,42,1,NA,1,NA,0.8893,NA,NA,2,NA,1
"152",1972,48,1,NA,2,NA,1.3339,NA,NA,1,NA,1
"153",1972,59,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"154",1972,39,2,NA,2,NA,0.8893,NA,NA,1,NA,1
"155",1972,49,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"156",1972,33,2,NA,2,NA,0.8893,NA,NA,1,NA,1
"157",1972,53,2,NA,2,NA,0.4446,NA,NA,2,NA,2
"158",1972,30,2,NA,1,NA,0.8893,NA,NA,2,NA,1
"159",1972,25,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"160",1972,36,2,NA,2,NA,0.8893,NA,NA,1,NA,3
"161",1972,30,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"162",1972,28,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"163",1972,52,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"164",1972,44,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"165",1972,50,1,NA,2,NA,0.4446,NA,NA,2,NA,5
"166",1972,38,2,NA,1,NA,0.4446,NA,NA,1,NA,4
"167",1972,26,1,NA,2,NA,0.8893,NA,NA,2,NA,5
"168",1972,28,2,NA,1,NA,1.3339,NA,NA,1,NA,1
"169",1972,81,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"170",1972,55,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"171",1972,76,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"172",1972,29,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"173",1972,19,1,NA,1,NA,1.3339,NA,NA,2,NA,5
"174",1972,76,2,NA,2,NA,0.8893,NA,NA,2,NA,5
"175",1972,61,1,NA,2,NA,0.4446,NA,NA,1,NA,5
"176",1972,26,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"177",1972,39,2,NA,2,NA,0.4446,NA,NA,1,NA,3
"178",1972,19,1,NA,3,NA,0.8893,NA,NA,2,NA,5
"179",1972,26,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"180",1972,21,2,NA,2,NA,0.4446,NA,NA,2,NA,5
"181",1972,45,2,NA,1,NA,1.3339,NA,NA,2,NA,1
"182",1972,27,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"183",1972,76,1,NA,1,NA,0.4446,NA,NA,2,NA,2
"184",1972,63,2,NA,2,NA,1.3339,NA,NA,1,NA,2
"185",1972,52,1,NA,2,NA,1.3339,NA,NA,2,NA,1
"186",1972,65,1,NA,2,NA,1.3339,NA,NA,2,NA,1
"187",1972,59,1,NA,3,NA,2.2232,NA,NA,1,NA,1
"188",1972,26,1,NA,2,NA,1.3339,NA,NA,1,NA,5
"189",1972,41,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"190",1972,56,1,NA,2,NA,0.8893,NA,NA,3,NA,1
"191",1972,62,1,NA,3,NA,0.8893,NA,NA,1,NA,1
"192",1972,29,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"193",1972,25,2,NA,1,NA,0.8893,NA,NA,2,NA,1
"194",1972,41,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"195",1972,21,2,NA,2,NA,1.3339,NA,NA,1,NA,5
"196",1972,49,2,NA,2,NA,0.8893,NA,NA,1,NA,3
"197",1972,38,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"198",1972,50,1,NA,1,NA,0.8893,NA,NA,2,NA,1
"199",1972,43,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"200",1972,32,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"201",1972,55,2,NA,2,NA,0.4446,NA,NA,1,NA,3
"202",1972,27,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"203",1972,56,1,NA,2,NA,1.3339,NA,NA,1,NA,1
"204",1972,48,2,NA,1,NA,0.8893,NA,NA,2,NA,1
"205",1972,56,1,NA,2,NA,1.3339,NA,NA,1,NA,1
"206",1972,44,2,NA,1,NA,0.8893,NA,NA,2,NA,1
"207",1972,25,2,NA,2,NA,0.4446,NA,NA,NA,NA,3
"208",1972,32,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"209",1972,33,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"210",1972,48,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"211",1972,45,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"212",1972,45,2,NA,3,NA,0.8893,NA,NA,1,NA,2
"213",1972,72,1,NA,1,NA,0.8893,NA,NA,2,NA,1
"214",1972,45,2,NA,2,NA,0.8893,NA,NA,2,NA,4
"215",1972,70,2,NA,3,NA,0.8893,NA,NA,2,NA,4
"216",1972,31,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"217",1972,20,1,NA,2,NA,1.3339,NA,NA,2,NA,5
"218",1972,22,2,NA,2,NA,0.4446,NA,NA,2,NA,4
"219",1972,63,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"220",1972,70,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"221",1972,68,1,NA,1,NA,0.8893,NA,NA,3,NA,1
"222",1972,43,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"223",1972,53,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"224",1972,44,2,NA,2,NA,0.8893,NA,NA,1,NA,1
"225",1972,37,2,NA,2,NA,0.8893,NA,NA,1,NA,1
"226",1972,55,1,NA,2,NA,2.6679,NA,NA,2,NA,1
"227",1972,52,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"228",1972,64,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"229",1972,NA,1,NA,2,NA,0.8893,NA,NA,3,NA,1
"230",1972,64,1,NA,2,NA,0.8893,NA,NA,1,NA,5
"231",1972,27,2,NA,2,NA,1.3339,NA,NA,2,NA,5
"232",1972,28,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"233",1972,22,1,NA,2,NA,1.7786,NA,NA,1,NA,5
"234",1972,61,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"235",1972,82,2,NA,3,NA,0.4446,NA,NA,1,NA,2
"236",1972,22,1,NA,1,NA,1.3339,NA,NA,1,NA,5
"237",1972,30,2,NA,1,NA,0.8893,NA,NA,2,NA,1
"238",1972,29,2,NA,1,NA,0.8893,NA,NA,2,NA,1
"239",1972,60,1,NA,1,NA,0.8893,NA,NA,2,NA,1
"240",1972,39,2,NA,1,NA,0.8893,NA,NA,2,NA,1
"241",1972,21,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"242",1972,56,1,NA,2,NA,1.7786,NA,NA,3,NA,1
"243",1972,72,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"244",1972,61,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"245",1972,71,1,NA,2,NA,0.4446,NA,NA,1,NA,3
"246",1972,56,2,NA,3,NA,0.8893,NA,NA,2,NA,1
"247",1972,71,2,NA,1,NA,0.8893,NA,NA,2,NA,1
"248",1972,48,1,NA,1,NA,0.8893,NA,NA,2,NA,1
"249",1972,43,2,NA,1,NA,0.8893,NA,NA,2,NA,1
"250",1972,61,2,NA,1,NA,0.4446,NA,NA,3,NA,5
"251",1972,70,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"252",1972,48,2,NA,1,NA,0.4446,NA,NA,1,NA,4
"253",1972,34,2,NA,1,NA,0.8893,NA,NA,2,NA,1
"254",1972,19,1,NA,3,NA,1.7786,NA,NA,2,NA,5
"255",1972,52,2,NA,1,NA,0.8893,NA,NA,3,NA,1
"256",1972,30,1,NA,3,NA,0.8893,NA,NA,1,NA,1
"257",1972,60,1,NA,2,NA,1.3339,NA,NA,1,NA,1
"258",1972,50,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"259",1972,47,2,NA,2,NA,1.3339,NA,NA,1,NA,2
"260",1972,50,2,NA,2,NA,0.8893,NA,NA,1,NA,1
"261",1972,68,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"262",1972,50,1,NA,1,NA,0.4446,NA,NA,2,NA,3
"263",1972,21,1,NA,3,NA,0.4446,NA,NA,2,NA,4
"264",1972,72,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"265",1972,52,1,NA,3,NA,0.8893,NA,NA,2,NA,1
"266",1972,32,2,NA,1,NA,1.3339,NA,NA,2,NA,1
"267",1972,52,1,NA,1,NA,0.8893,NA,NA,2,NA,1
"268",1972,60,2,NA,1,NA,0.8893,NA,NA,1,NA,5
"269",1972,32,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"270",1972,60,2,NA,2,NA,0.4446,NA,NA,1,NA,2
"271",1972,80,2,NA,2,NA,0.4446,NA,NA,2,NA,2
"272",1972,58,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"273",1972,36,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"274",1972,31,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"275",1972,30,1,NA,1,NA,0.8893,NA,NA,2,NA,1
"276",1972,63,1,NA,1,NA,0.8893,NA,NA,2,NA,1
"277",1972,34,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"278",1972,29,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"279",1972,36,2,NA,3,NA,0.8893,NA,NA,1,NA,1
"280",1972,39,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"281",1972,73,1,NA,3,NA,1.3339,NA,NA,1,NA,1
"282",1972,38,1,NA,3,NA,0.8893,NA,NA,1,NA,1
"283",1972,55,1,NA,2,NA,1.7786,NA,NA,2,NA,1
"284",1972,30,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"285",1972,44,2,NA,1,NA,1.3339,NA,NA,1,NA,1
"286",1972,43,2,NA,2,NA,0.8893,NA,NA,1,NA,1
"287",1972,38,1,NA,3,NA,0.8893,NA,NA,2,NA,1
"288",1972,44,2,NA,2,NA,1.3339,NA,NA,1,NA,1
"289",1972,75,2,NA,2,NA,0.4446,NA,NA,2,NA,2
"290",1972,43,1,NA,1,NA,0.8893,NA,NA,2,NA,1
"291",1972,43,2,NA,2,NA,1.3339,NA,NA,2,NA,1
"292",1972,27,1,NA,1,NA,0.8893,NA,NA,2,NA,1
