survey_yr,birth_cohort,counts,age_wmean,polviews_wmean,happy_wmean,conrinc_wmean,dwelown_wmean,been_married_wmean,conrinc_median,is2018,been_married_wmean_binned,dwelown_wmean_binned,age_wmean_binned,relative_youth
1984,1950.0,159,32.06028308907324,3.882976897581014,1.794321742306287,20076.910853990405,0.0,0.8546144425130642,22556.0,0,0.8,-0.0,30.0,3.0
1984,1955.0,181,26.820357955579563,4.11378055948093,1.7065826127580939,16872.226438957547,0.0,0.7006077987899668,22556.0,0,0.7000000000000001,-0.0,25.0,2.0
1984,1960.0,177,22.223064326350393,4.135340312230862,1.8270668009073379,9038.805189776684,0.0,0.3233149358919929,12303.0,0,0.30000000000000004,-0.0,20.0,1.0
1985,1910.0,59,72.73560189098237,4.367809819176478,1.8505715762549058,2936.750715995484,0.7816141677259628,0.9310359362070764,3155.0,0,0.9,0.7000000000000001,70.0,11.0
1985,1915.0,87,68.11110899315331,3.993827609089057,1.7098738001603562,8684.553391002675,0.8086451595993722,0.9567932636233994,23659.5,0,0.9,0.8,65.0,10.0
1985,1920.0,107,63.014918551449625,4.437819204862428,1.6417857708686403,19763.943205419335,0.7910471407790062,0.9701504145642394,35489.0,0,0.9,0.7000000000000001,60.0,9.0
1985,1925.0,111,57.87837682762075,4.463959640639643,1.8378340314327295,23349.322022906006,0.8378409863457669,0.9279288442847131,25631.0,0,0.9,0.8,55.0,8.0
1985,1930.0,97,52.74648025153357,4.187791198137056,1.8262850774263113,26227.852208620632,0.8028206917173327,0.9953054918768065,29574.0,0,0.9,0.8,50.0,7.0
1985,1935.0,101,48.11008719471007,4.403666622105794,1.8669698576678493,29652.43875255524,0.7935780994226858,0.972478201322484,29574.0,0,0.9,0.7000000000000001,45.0,6.0
1985,1940.0,106,42.84036903572111,4.276998784922161,1.7887277745409935,33340.25263470737,0.7370946682456938,0.953053234182015,33517.0,0,0.9,0.7000000000000001,40.0,5.0
1985,1945.0,154,37.972410561931156,3.9517317936062994,1.7930985143124867,27524.107715006747,0.6862127346925736,0.9034529390311752,29574.0,0,0.9,0.6000000000000001,35.0,4.0
1985,1950.0,172,32.93103281377336,4.200631264471015,1.8934164935842024,24398.07031211715,0.6206937859109563,0.8495347192434025,25631.0,0,0.8,0.6000000000000001,30.0,3.0
1985,1955.0,184,27.893375351511054,4.083578427010286,1.7579223472039298,19263.672400598007,0.5014421964546327,0.7521674660947566,21688.0,0,0.7000000000000001,0.5,25.0,2.0
1985,1960.0,144,23.105083450604482,3.8983093982436485,1.7559314338351952,9596.134529793413,0.2508483757701132,0.46102247353466685,10252.0,0,0.4,0.2,20.0,1.0
1986,1905.0,50,78.58904109589041,4.219178082191781,1.7945205479452055,198.64383561643834,0.6986301369863013,0.9863013698630135,3816.0,0,0.9,0.6000000000000001,75.0,13.0
1986,1910.0,54,73.54022988505749,4.367816091954024,1.6206896551724141,3592.517241379311,0.8620689655172413,0.9425287356321839,44840.5,0,0.9,0.8,70.0,12.0
1986,1915.0,83,68.80714285714284,4.471428571428569,1.6571428571428566,3608.62857142857,0.7857142857142854,0.9785714285714283,28621.5,0,0.9,0.7000000000000001,65.0,11.0
1986,1920.0,100,63.98421052631579,4.215789473684211,1.610526315789474,10677.068421052632,0.7789473684210526,0.9789473684210526,20989.0,0,0.9,0.7000000000000001,60.0,10.0
1986,1925.0,75,59.17441860465115,4.302325581395349,1.8023255813953485,27027.575581395344,0.8488372093023255,0.9534883720930231,32438.0,0,0.9,0.8,55.0,9.0
